HGNC ID,gene_symbol,sf_id,family_name,subfamily_name,family_id
HGNC:56,ABCC5,PTHR24223:SF196,ATP-BINDING CASSETTE SUB-FAMILY C,MULTIDRUG RESISTANCE-ASSOCIATED PROTEIN 5,PTHR24223
HGNC:57,ABCC6,PTHR24223:SF339,ATP-BINDING CASSETTE SUB-FAMILY C,MULTIDRUG RESISTANCE-ASSOCIATED PROTEIN 6,PTHR24223
HGNC:59,ABCC8,PTHR24223:SF187,ATP-BINDING CASSETTE SUB-FAMILY C,ATP-BINDING CASSETTE SUB-FAMILY C MEMBER 8,PTHR24223
HGNC:60,ABCC9,PTHR24223:SF173,ATP-BINDING CASSETTE SUB-FAMILY C,ATP-BINDING CASSETTE SUB-FAMILY C MEMBER 9,PTHR24223
HGNC:52,ABCC10,PTHR24223:SF330,ATP-BINDING CASSETTE SUB-FAMILY C,MULTIDRUG RESISTANCE-ASSOCIATED PROTEIN 7,PTHR24223
HGNC:14639,ABCC11,PTHR24223:SF168,ATP-BINDING CASSETTE SUB-FAMILY C,ATP-BINDING CASSETTE SUB-FAMILY C MEMBER 11,PTHR24223
HGNC:14640,ABCC12,PTHR24223:SF10,ATP-BINDING CASSETTE SUB-FAMILY C,MULTIDRUG RESISTANCE-ASSOCIATED PROTEIN 9,PTHR24223
HGNC:61,ABCD1,PTHR11384:SF21,"ATP-BINDING CASSETTE, SUB-FAMILY D MEMBER",ATP-BINDING CASSETTE SUB-FAMILY D MEMBER 1,PTHR11384
HGNC:66,ABCD2,PTHR11384:SF24,"ATP-BINDING CASSETTE, SUB-FAMILY D MEMBER",ATP-BINDING CASSETTE SUB-FAMILY D MEMBER 2,PTHR11384
HGNC:67,ABCD3,PTHR11384:SF59,"ATP-BINDING CASSETTE, SUB-FAMILY D MEMBER",ATP-BINDING CASSETTE SUB-FAMILY D MEMBER 3,PTHR11384
HGNC:68,ABCD4,PTHR11384:SF28,"ATP-BINDING CASSETTE, SUB-FAMILY D MEMBER",ATP-BINDING CASSETTE SUB-FAMILY D MEMBER 4,PTHR11384
HGNC:69,ABCE1,PTHR19248:SF16,ATP-BINDING TRANSPORT PROTEIN-RELATED,ATP-BINDING CASSETTE SUB-FAMILY E MEMBER 1,PTHR19248
HGNC:70,ABCF1,PTHR19211:SF14,ATP-BINDING TRANSPORT PROTEIN-RELATED,ATP-BINDING CASSETTE SUB-FAMILY F MEMBER 1,PTHR19211
HGNC:71,ABCF2,PTHR19211:SF15,ATP-BINDING TRANSPORT PROTEIN-RELATED,ATP-BINDING CASSETTE SUB-FAMILY F MEMBER 2,PTHR19211
HGNC:72,ABCF3,PTHR19211:SF45,ATP-BINDING TRANSPORT PROTEIN-RELATED,ATP-BINDING CASSETTE SUB-FAMILY F MEMBER 3,PTHR19211
HGNC:73,ABCG1,PTHR48041:SF90,ABC TRANSPORTER G FAMILY MEMBER 28,ATP-BINDING CASSETTE SUB-FAMILY G MEMBER 1,PTHR48041
HGNC:74,ABCG2,PTHR48041:SF92,ABC TRANSPORTER G FAMILY MEMBER 28,ATP-BINDING CASSETTE SUB-FAMILY G MEMBER 2,PTHR48041
HGNC:13884,ABCG4,PTHR48041:SF75,ABC TRANSPORTER G FAMILY MEMBER 28,ATP-BINDING CASSETTE SUB-FAMILY G MEMBER 4,PTHR48041
HGNC:13886,ABCG5,PTHR48041:SF47,ABC TRANSPORTER G FAMILY MEMBER 28,ATP-BINDING CASSETTE SUB-FAMILY G MEMBER 5,PTHR48041
HGNC:13887,ABCG8,PTHR48041:SF71,ABC TRANSPORTER G FAMILY MEMBER 28,ATP-BINDING CASSETTE SUB-FAMILY G MEMBER 8,PTHR48041
HGNC:17553,ABHD1,PTHR10794:SF60,ABHYDROLASE DOMAIN-CONTAINING PROTEIN,PROTEIN ABHD1,PTHR10794
HGNC:18717,ABHD2,PTHR10794:SF45,ABHYDROLASE DOMAIN-CONTAINING PROTEIN,MONOACYLGLYCEROL LIPASE ABHD2,PTHR10794
HGNC:18718,ABHD3,PTHR10794:SF50,ABHYDROLASE DOMAIN-CONTAINING PROTEIN,PHOSPHOLIPASE ABHD3,PTHR10794
HGNC:20154,ABHD4,PTHR42886:SF21,RE40534P-RELATED,PROTEIN ABHD4,PTHR42886
HGNC:21396,ABHD5,PTHR42886:SF34,RE40534P-RELATED,1-ACYLGLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE ABHD5,PTHR42886
HGNC:21398,ABHD6,PTHR43798:SF5,MONOACYLGLYCEROL LIPASE,MONOACYLGLYCEROL LIPASE ABHD6,PTHR43798
HGNC:23759,ABHD8,PTHR42886:SF1,RE40534P-RELATED,PROTEIN ABHD8,PTHR42886
HGNC:25656,ABHD10,PTHR16138:SF7,"MYCOPHENOLIC ACID ACYL-GLUCURONIDE ESTERASE, MITOCHONDRIAL","MYCOPHENOLIC ACID ACYL-GLUCURONIDE ESTERASE, MITOCHONDRIAL",PTHR16138
HGNC:16407,ABHD11,PTHR46118:SF4,FAMILY NOT NAMED,PROTEIN ABHD11,PTHR46118
HGNC:15868,ABHD12,PTHR12277:SF61,ALPHA/BETA HYDROLASE DOMAIN-CONTAINING PROTEIN,LYSOPHOSPHATIDYLSERINE LIPASE ABHD12,PTHR12277
HGNC:19837,ABHD12B,PTHR12277:SF69,ALPHA/BETA HYDROLASE DOMAIN-CONTAINING PROTEIN,PROTEIN ABHD12B,PTHR12277
HGNC:20293,ABHD13,PTHR12277:SF81,ALPHA/BETA HYDROLASE DOMAIN-CONTAINING PROTEIN,PROTEIN ABHD13,PTHR12277
HGNC:24538,ABHD14A,PTHR46197:SF1,PROTEIN ABHD14B-LIKE,PROTEIN ABHD14A,PTHR46197
HGNC:28235,ABHD14B,PTHR46197:SF2,PROTEIN ABHD14B-LIKE,PROTEIN ABHD14B,PTHR46197
HGNC:26971,ABHD15,PTHR10794:SF39,ABHYDROLASE DOMAIN-CONTAINING PROTEIN,PROTEIN ABHD15,PTHR10794
HGNC:13921,ABHD16A,PTHR12277:SF54,ALPHA/BETA HYDROLASE DOMAIN-CONTAINING PROTEIN,PHOSPHATIDYLSERINE LIPASE ABHD16A,PTHR12277
HGNC:16128,ABHD16B,PTHR12277:SF37,ALPHA/BETA HYDROLASE DOMAIN-CONTAINING PROTEIN,PROTEIN ABHD16B,PTHR12277
HGNC:28756,ABHD17A,PTHR12277:SF52,ALPHA/BETA HYDROLASE DOMAIN-CONTAINING PROTEIN,ALPHA/BETA HYDROLASE DOMAIN-CONTAINING PROTEIN 17A,PTHR12277
HGNC:24278,ABHD17B,PTHR12277:SF48,ALPHA/BETA HYDROLASE DOMAIN-CONTAINING PROTEIN,ALPHA/BETA HYDROLASE DOMAIN-CONTAINING PROTEIN 17B,PTHR12277
HGNC:26925,ABHD17C,PTHR12277:SF55,ALPHA/BETA HYDROLASE DOMAIN-CONTAINING PROTEIN,ALPHA/BETA HYDROLASE DOMAIN-CONTAINING PROTEIN 17C,PTHR12277
HGNC:26111,ABHD18,PTHR13617:SF14,PROTEIN ABHD18,PROTEIN ABHD18,PTHR13617
HGNC:11320,ABI1,PTHR10460:SF2,ABL INTERACTOR FAMILY MEMBER,ABL INTERACTOR 1,PTHR10460
HGNC:24011,ABI2,PTHR10460:SF26,ABL INTERACTOR FAMILY MEMBER,ABL INTERACTOR 2,PTHR10460
HGNC:29859,ABI3,PTHR10460:SF7,ABL INTERACTOR FAMILY MEMBER,ABI GENE FAMILY MEMBER 3,PTHR10460
HGNC:17265,ABI3BP,PTHR23197:SF10,TARSH-RELATED FIBRONECTIN DOMAIN-CONTAINING,TARGET OF NESH-SH3,PTHR23197
HGNC:1364,ABITRAM,PTHR13651:SF0,UNCHARACTERIZED,PROTEIN ABITRAM,PTHR13651
HGNC:76,ABL1,PTHR24418:SF162,TYROSINE-PROTEIN KINASE,TYROSINE-PROTEIN KINASE ABL1,PTHR24418
HGNC:77,ABL2,PTHR24418:SF87,TYROSINE-PROTEIN KINASE,TYROSINE-PROTEIN KINASE ABL2,PTHR24418
HGNC:78,ABLIM1,PTHR24213:SF18,ACTIN-BINDING LIM PROTEIN,ACTIN-BINDING LIM PROTEIN 1,PTHR24213
HGNC:19195,ABLIM2,PTHR24213:SF6,ACTIN-BINDING LIM PROTEIN,ACTIN-BINDING LIM PROTEIN 2,PTHR24213
HGNC:29132,ABLIM3,PTHR24213:SF0,ACTIN-BINDING LIM PROTEIN,ACTIN-BINDING LIM PROTEIN 3,PTHR24213
HGNC:79,ABO,PTHR10462:SF45,GLYCOSYLTRANSFERASE-RELATED,HISTO-BLOOD GROUP ABO SYSTEM TRANSFERASE,PTHR10462
HGNC:81,ABR,PTHR23182:SF5,BREAKPOINT CLUSTER REGION PROTEIN  BCR,ACTIVE BREAKPOINT CLUSTER REGION-RELATED PROTEIN,PTHR23182
HGNC:30655,ABRA,PTHR22739:SF20,STRIATED MUSCLE ACTIVATOR OF RHO-DEPENDENT SIGNALING-RELATED,ACTIN-BINDING RHO-ACTIVATING PROTEIN,PTHR22739
HGNC:21230,ABRACL,PTHR46334:SF1,COSTARS FAMILY PROTEIN ABRACL,COSTARS FAMILY PROTEIN ABRACL,PTHR46334
HGNC:25829,ABRAXAS1,PTHR31728:SF2,ABRAXAS FAMILY MEMBER,BRCA1-A COMPLEX SUBUNIT ABRAXAS 1,PTHR31728
HGNC:28975,ABRAXAS2,PTHR31728:SF1,ABRAXAS FAMILY MEMBER,BRISC COMPLEX SUBUNIT ABRAXAS 2,PTHR31728
HGNC:17369,ABT1,PTHR12311:SF7,ACTIVATOR OF BASAL TRANSCRIPTION 1,ACTIVATOR OF BASAL TRANSCRIPTION 1,PTHR12311
HGNC:18275,ABTB1,PTHR46231:SF1,ANKYRIN REPEAT AND BTB/POZ DOMAIN-CONTAINING PROTEIN 1,ANKYRIN REPEAT AND BTB/POZ DOMAIN-CONTAINING PROTEIN 1,PTHR46231
HGNC:23842,ABTB2,PTHR46071:SF3,ANKYRIN REPEAT AND BTB/POZ DOMAIN-CONTAINING,ANKYRIN REPEAT AND BTB/POZ DOMAIN-CONTAINING PROTEIN 2,PTHR46071
HGNC:82,ACAA1,PTHR43853:SF8,"3-KETOACYL-COA THIOLASE, PEROXISOMAL","3-KETOACYL-COA THIOLASE, PEROXISOMAL",PTHR43853
HGNC:83,ACAA2,PTHR18919:SF145,ACETYL-COA C-ACYLTRANSFERASE,"3-KETOACYL-COA THIOLASE, MITOCHONDRIAL",PTHR18919
HGNC:84,ACACA,PTHR45728:SF5,"ACETYL-COA CARBOXYLASE, ISOFORM A",ACETYL-COA CARBOXYLASE 1,PTHR45728
HGNC:85,ACACB,PTHR45728:SF1,"ACETYL-COA CARBOXYLASE, ISOFORM A",ACETYL-COA CARBOXYLASE 2,PTHR45728
HGNC:87,ACAD8,PTHR43831:SF1,ISOBUTYRYL-COA DEHYDROGENASE,"ISOBUTYRYL-COA DEHYDROGENASE, MITOCHONDRIAL",PTHR43831
HGNC:21497,ACAD9,PTHR43884:SF9,ACYL-COA DEHYDROGENASE,"ACYL-COA DEHYDROGENASE FAMILY MEMBER 9, MITOCHONDRIAL",PTHR43884
HGNC:21597,ACAD10,PTHR48083:SF13,"MEDIUM-CHAIN SPECIFIC ACYL-COA DEHYDROGENASE, MITOCHONDRIAL-RELATED",ACYL-COA DEHYDROGENASE FAMILY MEMBER 10-RELATED,PTHR48083
HGNC:30211,ACAD11,PTHR48083:SF13,"MEDIUM-CHAIN SPECIFIC ACYL-COA DEHYDROGENASE, MITOCHONDRIAL-RELATED",ACYL-COA DEHYDROGENASE FAMILY MEMBER 10-RELATED,PTHR48083
HGNC:88,ACADL,PTHR48083:SF20,"MEDIUM-CHAIN SPECIFIC ACYL-COA DEHYDROGENASE, MITOCHONDRIAL-RELATED","LONG-CHAIN SPECIFIC ACYL-COA DEHYDROGENASE, MITOCHONDRIAL",PTHR48083
HGNC:89,ACADM,PTHR48083:SF2,"MEDIUM-CHAIN SPECIFIC ACYL-COA DEHYDROGENASE, MITOCHONDRIAL-RELATED","MEDIUM-CHAIN SPECIFIC ACYL-COA DEHYDROGENASE, MITOCHONDRIAL",PTHR48083
HGNC:90,ACADS,PTHR43884:SF12,ACYL-COA DEHYDROGENASE,"ISOVALERYL-COA DEHYDROGENASE, MITOCHONDRIAL-RELATED",PTHR43884
HGNC:91,ACADSB,PTHR43884:SF1,ACYL-COA DEHYDROGENASE,"SHORT/BRANCHED CHAIN SPECIFIC ACYL-COA DEHYDROGENASE, MITOCHONDRIAL",PTHR43884
HGNC:92,ACADVL,PTHR43884:SF11,ACYL-COA DEHYDROGENASE,"VERY LONG-CHAIN SPECIFIC ACYL-COA DEHYDROGENASE, MITOCHONDRIAL",PTHR43884
HGNC:319,ACAN,PTHR22804:SF42,AGGRECAN/VERSICAN PROTEOGLYCAN,AGGRECAN CORE PROTEIN,PTHR22804
HGNC:16467,ACAP1,PTHR23180:SF197,CENTAURIN/ARF,"ARF-GAP WITH COILED-COIL, ANK REPEAT AND PH DOMAIN-CONTAINING PROTEIN 1",PTHR23180
HGNC:16469,ACAP2,PTHR23180:SF241,CENTAURIN/ARF,"ARF-GAP WITH COILED-COIL, ANK REPEAT AND PH DOMAIN-CONTAINING PROTEIN 2",PTHR23180
HGNC:16754,ACAP3,PTHR23180:SF407,CENTAURIN/ARF,"ARF-GAP WITH COILED-COIL, ANK REPEAT AND PH DOMAIN-CONTAINING PROTEIN 3",PTHR23180
HGNC:93,ACAT1,PTHR18919:SF156,ACETYL-COA C-ACYLTRANSFERASE,"ACETYL-COA ACETYLTRANSFERASE, MITOCHONDRIAL",PTHR18919
HGNC:94,ACAT2,PTHR18919:SF81,ACETYL-COA C-ACYLTRANSFERASE,"ACETYL-COA ACETYLTRANSFERASE, CYTOSOLIC",PTHR18919
HGNC:15453,ACBD3,PTHR22973:SF11,LD35087P,GOLGI RESIDENT PROTEIN GCP60,PTHR22973
HGNC:23337,ACBD4,PTHR23310:SF53,"ACYL-COA-BINDING PROTEIN, ACBP",ACYL-COA-BINDING DOMAIN-CONTAINING PROTEIN 4,PTHR23310
HGNC:23338,ACBD5,PTHR23310:SF6,"ACYL-COA-BINDING PROTEIN, ACBP",ACYL-COA-BINDING DOMAIN-CONTAINING PROTEIN 5,PTHR23310
HGNC:23339,ACBD6,PTHR24119:SF0,ACYL-COA-BINDING DOMAIN-CONTAINING PROTEIN 6,ACYL-COA-BINDING DOMAIN-CONTAINING PROTEIN 6,PTHR24119
HGNC:17715,ACBD7,PTHR23310:SF51,"ACYL-COA-BINDING PROTEIN, ACBP",ACYL-COA-BINDING DOMAIN-CONTAINING PROTEIN 7,PTHR23310
HGNC:23989,ACCS,PTHR43795:SF17,BIFUNCTIONAL ASPARTATE AMINOTRANSFERASE AND GLUTAMATE/ASPARTATE-PREPHENATE AMINOTRANSFERASE-RELATED,1-AMINOCYCLOPROPANE-1-CARBOXYLATE SYNTHASE-LIKE PROTEIN 1,PTHR43795
HGNC:34391,ACCSL,PTHR43795:SF1,BIFUNCTIONAL ASPARTATE AMINOTRANSFERASE AND GLUTAMATE/ASPARTATE-PREPHENATE AMINOTRANSFERASE-RELATED,INACTIVE 1-AMINOCYCLOPROPANE-1-CARBOXYLATE SYNTHASE-LIKE PROTEIN 2-RELATED,PTHR43795
HGNC:25070,ACD,PTHR14487:SF3,ADRENOCORTICAL DYSPLASIA PROTEIN ACD,ADRENOCORTICAL DYSPLASIA PROTEIN HOMOLOG,PTHR14487
HGNC:2707,ACE,PTHR10514:SF25,ANGIOTENSIN-CONVERTING ENZYME,ANGIOTENSIN-CONVERTING ENZYME,PTHR10514
HGNC:13557,ACE2,PTHR10514:SF24,ANGIOTENSIN-CONVERTING ENZYME,ANGIOTENSIN-CONVERTING ENZYME 2,PTHR10514
HGNC:18356,ACER1,PTHR46139:SF2,ALKALINE CERAMIDASE,ALKALINE CERAMIDASE 1,PTHR46139
HGNC:23675,ACER2,PTHR46139:SF1,ALKALINE CERAMIDASE,ALKALINE CERAMIDASE 2,PTHR46139
HGNC:16066,ACER3,PTHR46187:SF3,ALKALINE CERAMIDASE 3,ALKALINE CERAMIDASE 3,PTHR46187
HGNC:108,ACHE,PTHR11559:SF397,CARBOXYLESTERASE,ACETYLCHOLINESTERASE,PTHR11559
HGNC:17066,ACIN1,PTHR46589:SF1,APOPTOTIC CHROMATIN CONDENSATION INDUCER IN THE NUCLEUS,APOPTOTIC CHROMATIN CONDENSATION INDUCER IN THE NUCLEUS,PTHR46589
HGNC:4035,ACKR1,PTHR14181:SF1,DUFFY ANTIGEN/CHEMOKINE RECEPTOR,ATYPICAL CHEMOKINE RECEPTOR 1,PTHR14181
HGNC:1565,ACKR2,PTHR10489:SF735,CELL ADHESION MOLECULE,ATYPICAL CHEMOKINE RECEPTOR 2,PTHR10489
HGNC:23692,ACKR3,PTHR10489:SF931,CELL ADHESION MOLECULE,ATYPICAL CHEMOKINE RECEPTOR 3,PTHR10489
HGNC:1611,ACKR4,PTHR10489:SF733,CELL ADHESION MOLECULE,ATYPICAL CHEMOKINE RECEPTOR 4,PTHR10489
HGNC:115,ACLY,PTHR23118:SF0,ATP-CITRATE SYNTHASE,ATP-CITRATE SYNTHASE,PTHR23118
HGNC:19288,ACMSD,PTHR21240:SF27,2-AMINO-3-CARBOXYLMUCONATE-6-SEMIALDEHYDE DECARBOXYLASE,2-AMINO-3-CARBOXYMUCONATE-6-SEMIALDEHYDE DECARBOXYLASE,PTHR21240
HGNC:117,ACO1,PTHR11670:SF32,ACONITASE/IRON-RESPONSIVE ELEMENT FAMILY MEMBER,CYTOPLASMIC ACONITATE HYDRATASE,PTHR11670
HGNC:118,ACO2,PTHR43160:SF6,ACONITATE HYDRATASE B,"ACONITATE HYDRATASE, MITOCHONDRIAL",PTHR43160
HGNC:33904,ACOD1,PTHR16943:SF11,2-METHYLCITRATE DEHYDRATASE-RELATED,CIS-ACONITATE DECARBOXYLASE,PTHR16943
HGNC:33128,ACOT1,PTHR10824:SF16,ACYL-COENZYME A THIOESTERASE-RELATED,ACYL-COENZYME A THIOESTERASE 1-RELATED,PTHR10824
